Order_ID,Order_Date,Restaurant_Name,Restaurant_Location,Food_Item,Cuisine,Price,Quantity,Total_Amount,Payment_Method,Customer_ID,Customer_Age,Customer_Gender,Delivery_Time,Customer_Rating,Review_Text
1,1/16/2025,Urban Tadka,Bangalore,Burritos,Mexican,443,4,1772,UPI,15407,37,M,55,4,Good taste but slow delivery.
2,1/9/2025,Taco Town,Kolkata,Burritos,Mexican,408,2,816,Wallet,17726,30,F,34,3,Highly recommended.
3,5/12/2025,Burger Barn,Jaipur,Burritos,Mexican,147,2,294,Cash,10352,25,F,54,5,Not satisfied.
4,4/26/2025,Spice Villa,Kolkata,Burritos,Mexican,270,2,540,Cash,16038,35,F,60,1,Quick delivery!
5,5/28/2025,Sizzler Station,Pune,Pasta Alfredo,Italian,505,4,2020,Net Banking,16490,49,M,40,4,Average experience.
6,5/5/2025,Taco Town,Hyderabad,Fried Rice,Chinese,456,2,912,UPI,11807,53,F,32,3,Highly recommended.
7,5/1/2025,Vegan Vibes,Ahmedabad,Butter Naan,Indian,203,3,609,Credit Card,10162,31,M,49,2,Food was cold.
8,1/21/2025,Taco Town,Pune,Pasta Alfredo,Italian,325,2,650,Cash,12355,25,F,24,3,Quick delivery!
9,1/18/2025,Sizzler Station,Lucknow,Spring Rolls,Chinese,519,1,519,UPI,12610,38,F,34,3,Quick delivery!
10,5/2/2025,Sizzler Station,Jaipur,Hotdog,American,288,1,288,Credit Card,14653,29,F,33,3,Average experience.
11,5/14/2025,Noodle Nest,Bangalore,Dal Makhani,Indian,484,1,484,Net Banking,10991,28,M,36,4,Not satisfied.
12,2/28/2025,Noodle Nest,Lucknow,Nachos,Mexican,337,3,1011,UPI,10637,41,M,67,3,Quick delivery!
13,6/6/2025,Noodle Nest,Mumbai,Burger,American,136,2,272,UPI,17890,44,M,59,4,Would order again.
14,2/25/2025,Spice Villa,Ahmedabad,Lasagna,Italian,156,1,156,Wallet,13808,31,F,46,3,Highly recommended.
15,2/21/2025,Biryani House,Hyderabad,Butter Naan,Indian,515,4,2060,Cash,17058,47,F,53,4,Not satisfied.
16,5/2/2025,Vegan Vibes,Delhi,Nachos,Mexican,306,1,306,Wallet,10077,35,M,66,3,Good taste but slow delivery.
17,5/19/2025,Curry Palace,Hyderabad,Hotdog,American,200,4,800,Net Banking,11634,22,M,73,2,Excellent service!
18,4/16/2025,Vegan Vibes,Delhi,Tacos,Mexican,454,2,908,UPI,13220,19,F,68,2,Excellent service!
19,1/1/2025,Spice Villa,Ahmedabad,Pizza Margherita,Italian,448,4,1792,Credit Card,14040,56,M,52,3,Not satisfied.
20,3/24/2025,Spice Villa,Kolkata,Hakka Noodles,Chinese,363,1,363,Cash,13899,43,M,47,1,Quick delivery!
21,2/3/2025,Vegan Vibes,Pune,Nachos,Mexican,484,4,1936,Net Banking,12808,48,F,69,2,Good taste but slow delivery.
22,3/8/2025,Taco Town,Bangalore,Tacos,Mexican,267,3,801,Credit Card,15820,43,F,70,5,Highly recommended.
23,5/12/2025,Vegan Vibes,Bangalore,Paneer Butter Masala,Indian,466,2,932,Wallet,10628,21,M,31,5,Food was cold.
24,4/12/2025,Taco Town,Lucknow,Pizza Margherita,Italian,595,1,595,UPI,15570,60,M,36,2,Excellent service!
25,5/19/2025,Sizzler Station,Mumbai,Lasagna,Italian,306,1,306,Wallet,13898,21,F,66,3,Good taste but slow delivery.
26,2/12/2025,Vegan Vibes,Kolkata,Pasta Alfredo,Italian,364,1,364,Cash,10896,30,F,56,4,Would order again.
27,2/3/2025,Spice Villa,Delhi,Grilled Chicken,Continental,381,3,1143,Wallet,10472,40,F,21,1,Food was cold.
28,2/22/2025,Sizzler Station,Ahmedabad,Dal Makhani,Indian,357,1,357,Wallet,16188,33,F,54,2,Would order again.
29,5/25/2025,Curry Palace,Mumbai,Nachos,Mexican,545,1,545,Credit Card,11877,33,F,56,4,Quick delivery!
30,3/10/2025,Pizza Point,Hyderabad,Tacos,Mexican,530,1,530,UPI,15809,29,M,73,3,Excellent service!
31,5/1/2025,Vegan Vibes,Hyderabad,Pizza Margherita,Italian,597,3,1791,Wallet,11593,38,M,47,3,Not satisfied.
32,1/5/2025,Vegan Vibes,Bangalore,Manchurian,Chinese,338,4,1352,Credit Card,15924,36,F,23,1,Excellent service!
33,6/21/2025,Urban Tadka,Jaipur,Nachos,Mexican,221,1,221,Wallet,10242,59,M,42,2,Highly recommended.
34,6/21/2025,Biryani House,Pune,Fries,American,124,2,248,Credit Card,16767,40,M,48,3,Good taste but slow delivery.
35,1/29/2025,Vegan Vibes,Mumbai,Hotdog,American,231,4,924,Wallet,15095,33,F,61,2,Not satisfied.
36,5/28/2025,Burger Barn,Hyderabad,Pizza Margherita,Italian,384,4,1536,Credit Card,15416,22,M,66,2,Good taste but slow delivery.
37,4/1/2025,Sizzler Station,Chennai,Steak,Continental,501,2,1002,Net Banking,17952,58,F,62,4,Highly recommended.
38,4/26/2025,Taco Town,Ahmedabad,Paneer Butter Masala,Indian,246,1,246,Credit Card,16252,46,M,73,5,Not satisfied.
